ICD Code 	ICD Description 	Number with code in devt cohort	% with code in devt cohort	Number with code in frail group	% with code in frail group	Points awarded 
F00 	Dementia in Alzheimers disease	664	3.00%	564	11.50%	7.1
G81 	Hemiplegia	332	1.50%	240	4.90%	4.4
G30 	Alzheimers disease	1107	5.00%	751	15.30%	4
I69 	Sequelae of cerebrovascular disease (secondary codes)	509	2.30%	343	7.00%	3.7
R29 	Other symptoms and signs involving the nervous and musculoskeletal systems (R29.6 Tendency to fall)	4140	18.70%	2429	49.50%	3.6
N39 	Other disorders of urinary system (includes urinary tract infection and urinary incontinence)	3852	17.40%	2233	45.50%	3.2
F05 	"Delirium, not induced by alcohol and other psychoactive substances"	1328	6.00%	923	18.80%	3.2
W19 	Unspecified fall	2568	11.60%	1462	29.80%	3.2
S00 	Superficial injury of head	886	4.00%	569	11.60%	3.2
R31 	Unspecified haematuria	708	3.20%	309	6.30%	3
B96 	Other bacterial agents as the cause of diseases classified to other chapters (secondary code)	1395	6.30%	918	18.70%	2.9
R41 	Other symptoms and signs involving cognitive functions and awareness	2037	9.20%	1222	24.90%	2.7
R26 	Abnormalities of gait and mobility	1882	8.50%	1114	22.70%	2.6
I67 	Other cerebrovascular diseases	1838	8.30%	1050	21.40%	2.6
R56 	"Convulsions, not elsewhere classified"	332	1.50%	206	4.20%	2.6
R40 	"Somnolence, stupor and coma"	266	1.20%	177	3.60%	2.5
T83 	"Complications of genitourinary prosthetic devices, implants and grafts"	244	1.10%	147	3.00%	2.4
S06 	Intracranial injury	221	1.00%	128	2.60%	2.4
S42	Fracture of shoulder and upper arm	266	1.20%	142	2.90%	2.3
E87	"Other disorders of fluid, electrolyte and acidbase balance"	2546	11.50%	1251	25.50%	2.3
M25 	"Other joint disorders, not elsewhere classified"	1262	5.70%	648	13.20%	2.3
E86 	Volume depletion	1550	7.00%	893	18.20%	2.3
R54 	Senility	332	1.50%	211	4.30%	2.2
Z50 	Care involving use of rehabilitation procedures	354	1.60%	196	4.00%	2.1
F03 	Unspecified dementia	2701	12.20%	1433	29.20%	2.1
W18 	Other fall on same level	642	2.90%	363	7.40%	2.1
Z75 	Problems related to medical facilities and other health care	642	2.90%	437	8.90%	2
F01 	Vascular dementia	863	3.90%	491	10.00%	2
S80 	Superficial injury of lower leg	244	1.10%	152	3.10%	2
L03 	Cellulitis	863	3.90%	422	8.60%	2
H54 	Blindness and low vision	642	2.90%	314	6.40%	1.9
E53 	Deficiency of other B group vitamins	244	1.10%	123	2.50%	1.9
Z60 	Problems related to social environment	487	2.20%	240	4.90%	1.8
G20 	Parkinsons disease	487	2.20%	240	4.90%	1.8
R55 	Syncope and collapse	1439	6.50%	633	12.90%	1.8
